,Unnamed: 0,id,full_name,prefix,pdes,class,diameter,diameter_sigma,albedo,rot_per,GM,BV,UB,IR,e,a,q,i,moid,spec_B,spec_T,dv,dv2
6893,568316,bK10V21Q,       (2010 VQ21),,2010 VQ21,AMO,,,,,,,,,0.3766597670858215,1.791739499009271,1.116863316633973,6.926243864037932,0.13699999999999998,,,6.039519,5.65662658858761
6894,568317,bK10V21R,       (2010 VR21),,2010 VR21,APO,,,,,,,,,0.6510751436351897,2.357306352415056,0.8225227804242782,0.7373280494050717,0.00145292,,,6.975646,7.130391182171059
6895,568318,bK10V21S,       (2010 VS21),,2010 VS21,AMO,,,,,,,,,0.3029472982853354,1.566542343290989,1.091962572741405,5.1297354475135215,0.103811,,,5.410259,4.644781921269976
6896,568319,bK10V21T,       (2010 VT21),,2010 VT21,APO,,,,,,,,,0.08462044320088091,1.066376978858696,0.9761396862884568,7.283589391424763,0.025761900000000004,,,5.029098,3.395680518750374
6897,568320,bK10V21U,       (2010 VU21),,2010 VU21,APO,,,,,,,,,0.724460248003129,2.123773354599485,0.5851839834239048,4.60614280579771,0.0212692,,,8.230248,8.348407803507218
6898,568321,bK10V21V,       (2010 VV21),,2010 VV21,AMO,,,,,,,,,0.4401508672825504,2.070891381750518,1.1593867440250678,1.3591359193642545,0.168905,,,6.309108,6.122642303147065
6899,568471,bK10V39X,       (2010 VX39),,2010 VX39,AMO,,,,,,,,,0.4214935485852037,1.79348852209003,1.0375446805674708,11.31244160845118,0.061501,,,6.2959830000000006,6.126721986325934
6900,568473,bK10V40A,       (2010 VA40),,2010 VA40,AMO,,,,,,,,,0.5720104113205929,2.404873323248951,1.029260744443397,2.004838774586974,0.0352546,,,6.330701,6.457742854089738
6901,568474,bK10V40B,       (2010 VB40),,2010 VB40,AMO,,,,,,,,,0.6268366921339852,2.825624127074224,1.054419246045038,3.4155851121011067,0.07469060000000001,,,6.88362,7.2279212131388295
6902,568475,bK10V40C,       (2010 VC40),,2010 VC40,AMO,,,,,,,,,0.5275765470748673,2.474474224291398,1.1689996572139818,6.455626971298969,0.181829,,,7.028347,7.215661861320384
6903,568661,bK10V65L,       (2010 VL65),,2010 VL65,APO,,,,,,,,,0.1440875034618906,1.065384000056241,0.9118754792598948,4.399036663555275,0.00700379,,,4.775946,3.0583511149756135
6904,568662,bK10V65M,       (2010 VM65),,2010 VM65,AMO,,,,,,,,,0.03020812248345081,1.056940262818292,1.025012081901387,24.697725740069604,0.0544188,,,11.248056,11.005771351774168
6905,568663,bK10V65N,       (2010 VN65),,2010 VN65,APO,,,,,,,,,0.4111341976311179,1.632745542980901,0.9614680142316644,23.911066377412208,0.226388,,,8.540951,8.935823483638162
6906,568678,bK10V69V,       (2010 VV69),,2010 VV69,AST,,,,,,,,,0.3148492727958379,4.744874027027462,3.250953890110007,11.76878208581661,2.25903,,,11.322433,12.061618545527876
6907,568695,bK10V71S,       (2010 VS71),,2010 VS71,APO,,,,,,,,,0.6575789361013833,1.4367976119852357,0.4919897669029765,2.3354213057710203,0.015253999999999997,,,8.669027999999999,8.129764415341791
6908,568697,bK10V71Y,       (2010 VY71),,2010 VY71,AMO,,,,,,,,,0.5724072834744766,2.47570148920945,1.058591925077353,2.953676034488688,0.0705262,,,6.529124,6.697213055799974
6909,568698,bK10V71Z,       (2010 VZ71),,2010 VZ71,AMO,,,,,,,,,0.5413240591652854,2.333530989948261,1.0703345222814822,22.675840881909515,0.307945,,,8.989068,9.728957518750244
6910,568699,bK10V72A,       (2010 VA72),,2010 VA72,AMO,,,,,,,,,0.5947347664062056,2.524002807647626,1.022890587432708,3.5461554612196453,0.0587627,,,6.54295,6.753953629646745
6911,568700,bK10V72B,       (2010 VB72),,2010 VB72,AMO,,,,,,,,,0.06722798883567467,1.217639703009912,1.135780234650087,16.05964480012825,0.14016199999999998,,,7.783823,6.9352465977716555
6912,568701,bK10V72C,       (2010 VC72),,2010 VC72,APO,,,,,,,,,0.1371545493326108,1.159519015671308,1.000485707634317,5.935257948699683,0.0201533,,,4.445725,2.9040071315317335
6913,568725,bK10V75W,       (2010 VW75),,2010 VW75,AMO,,,,,,,,,0.6035635423375071,2.704030648451214,1.071976331682813,1.103534640393614,0.0694227,,,6.730703,7.002385761143999
6914,568728,bK10V75Z,       (2010 VZ75),,2010 VZ75,AMO,,,,,,,,,0.2527409112600174,1.5327439798308231,1.1453568696400749,11.56935938758859,0.173868,,,6.349344,5.751108339551504
6915,568729,bK10V76A,       (2010 VA76),,2010 VA76,AMO,,,,,,,,,0.4457709315438474,2.070327316652655,1.147435580107727,4.3580167391726965,0.17988800000000002,,,6.372618,6.224787623046392
6916,568954,bK10V98N,       (2010 VN98),,2010 VN98,AMO,,,,,,,,,0.2977874207450582,1.551400111507192,1.089412673757869,27.44213265292567,0.116872,,,9.748717,10.2302792464664
6917,568955,bK10V98O,       (2010 VO98),,2010 VO98,APO,,,,,,,,,0.44076588498029096,1.437121414935522,0.8036873226573386,7.830342681384335,0.0278975,,,6.355726,5.707540584173992
6918,568956,bK10V98P,       (2010 VP98),,2010 VP98,APO,,,,,,,,,0.2928639458140045,1.339682332078199,0.9473376781684698,22.60013569994275,0.117597,,,8.284021000000001,8.281908019142506
6919,568957,bK10V98Q,       (2010 VQ98),,2010 VQ98,APO,,,,,,,,,0.027121727312835,1.023207013344332,0.9954558717438268,1.4756814608539688,0.0054208,,,3.918666,1.997060636099113
6920,568960,bK10V98U,       (2010 VU98),,2010 VU98,APO,,,,,,,,,0.2671741868768234,1.011100328343813,0.7409604202676656,6.9774784045534775,0.029406,,,6.441415,4.910885464588211
6921,568961,bK10V98V,       (2010 VV98),,2010 VV98,APO,,,,,,,,,0.5827833621514051,1.973789282541322,0.8234977282834808,1.5742313302090891,0.00259407,,,6.592577,6.473543731731927
6922,568962,bK10V98W,       (2010 VW98),,2010 VW98,AMO,,,,,,,,,0.3314118338646312,1.597601791320702,1.068137651873688,12.14226048920493,0.122536,,,6.197958,5.795348055312148
6923,568964,bK10V99A,       (2010 VA99),,2010 VA99,APO,,,,,,,,,0.3972445727981559,1.4447422633114082,0.870826240118827,37.19894174566503,0.0409408,,,12.7065,13.766296743614848
6924,568965,bK10V99B,       (2010 VB99),,2010 VB99,APO,,,,,,,,,0.4037637148986252,1.343623181345516,0.8011168942215409,49.91318583999193,0.0515122,,,17.471567999999998,19.10266117767302
6925,568967,bK10V99D,       (2010 VD99),,2010 VD99,APO,,,,,,,,,0.5103397455891232,1.8043141317936808,0.8835009168112343,7.966910739208423,0.044372900000000014,,,6.387184,6.189971297867169
6926,569255,bK10VD9E,       (2010 VE139),,2010 VE139,AMO,,,,,,,,,0.4928636618634274,2.371780778773236,1.202816219009767,6.805178869298032,0.225976,,,7.043603,7.163002853103193
6927,569256,bK10VD9F,       (2010 VF139),,2010 VF139,AMO,,,,,,,,,0.5453303353798737,2.505302502164664,1.139085048431171,1.851000312831336,0.14919000000000002,,,6.753019,6.906409583987273
6928,569257,bK10VD9J,       (2010 VJ139),,2010 VJ139,APO,,,,,,,,,0.3747974546393502,1.35997956746378,0.8502626872168308,8.925737710281604,0.0676025,,,6.0314510000000015,5.249794982472925
6929,569259,bK10VD9L,       (2010 VL139),,2010 VL139,APO,,,,,,,,,0.5075179753905951,1.8615489176956657,0.9167793798962084,3.617409966474797,0.00640203,,,5.970695,5.716283023778596
